@RELATION PENCODE


@ATTRIBUTE 32BITSTRING NUMERIC

@ATTRIBUTE IMAGENO STRING

@ATTRIBUTE ISRED NUMERIC

@ATTRIBUTE FREQUENCY NUMERIC


@DATA 
1722178483, 5_137, 1, 1
509335153, 6_3, 0, 4
2483619141, 6_4, 0, 6
3787868308, 6_5, 0, 1
2679914229, 6_9, 0, 1
1272347264, 6_10, 0, 1
3349909157, 6_11, 1, 1
465406484, 6_13, 0, 2
1967790359, 6_17, 0, 1
70994519, 6_19, 1, 3
977052180, 6_20, 0, 1
2124068417, 6_22, 0, 2
877124086, 6_27, 0, 1
113644099, 6_29, 0, 1
2887501520, 6_34, 0, 1
465406484, 6_37, 1, 1
3417972423, 6_38, 0, 1
2039090992, 6_42, 0, 2
1424254084, 6_45, 0, 1
3924411285, 6_46, 0, 2
3669363782, 6_51, 0, 1
2934037044, 6_57, 0, 2
1888284099, 6_58, 0, 8
2994998725, 6_60, 0, 1
3706240436, 6_63, 0, 1
3625776352, 6_64, 0, 1
299376756, 6_66, 1, 1
2585897216, 6_70, 0, 2
1309527524, 6_73, 0, 12
3238340167, 6_76, 1, 1
1064850757, 6_78, 0, 2
964227652, 6_79, 0, 1
4167838113, 6_84, 1, 6
2563813552, 6_85, 0, 2
299376756, 6_86, 0, 1
1416376784, 6_94, 0, 4
2705074880, 6_97, 0, 1
2455072611, 6_98, 0, 1
1962137025, 6_100, 0, 1
423727297, 6_103, 0, 3
4194480534, 6_104, 0, 1
1204174769, 6_109, 1, 1
1309527524, 6_114, 1, 2
1484348100, 6_115, 0, 1
3793548183, 6_118, 0, 1
2556284422, 6_119, 0, 4
2452489121, 6_124, 0, 1
3063748711, 6_127, 0, 1
2865769956, 6_128, 0, 1
767771093, 6_129, 0, 1
2658739378, 6_131, 0, 1
2371973730, 6_136, 0, 2
1541082704, 6_142, 0, 1
4032358117, 6_144, 0, 1
4212348215, 7_4, 0, 1
574056403, 7_5, 0, 2
575538660, 7_8, 0, 1
166211299, 7_20, 0, 1
187040033, 7_22, 0, 1
3032895911, 7_24, 0, 2
2383002629, 7_26, 0, 1
1981010514, 7_30, 0, 3
3559530055, 7_34, 0, 1
1284273890, 7_38, 0, 1
604176086, 7_42, 0, 2
2684456261, 7_45, 0, 2
3007803175, 7_48, 0, 1
3373249600, 7_49, 0, 1
3928195536, 7_56, 0, 1
2712530931, 7_58, 0, 1
3522481060, 7_60, 0, 2
426753092, 7_61, 0, 4
4002703124, 7_64, 0, 1
3042329201, 7_67, 0, 2
1680975813, 7_68, 0, 3
109285478, 7_69, 0, 1
3423670416, 7_70, 0, 3
3923271107, 7_73, 0, 3
4135176935, 7_76, 0, 1
3336928679, 7_78, 0, 1
556971763, 7_93, 0, 5
3183905526, 7_100, 0, 2
2831627620, 7_102, 0, 1
2888914614, 7_106, 0, 1
1515139590, 7_107, 0, 1
621508247, 7_108, 0, 1
3053892051, 7_110, 0, 1
3021096148, 7_111, 0, 1
2740177703, 7_112, 1, 2
11946244, 7_113, 0, 3
10504944, 7_119, 0, 1
3720947008, 7_120, 0, 1
1057375650, 7_123, 0, 3
2631769431, 7_124, 0, 2
3406732113, 7_126, 0, 1
3009983638, 7_127, 0, 1
3590549783, 7_128, 0, 2
315358821, 7_129, 0, 1
640167399, 7_131, 0, 1
1047334512, 7_134, 0, 1
357806916, 7_137, 0, 1
2759037397, 7_138, 0, 1
3909921911, 7_139, 0, 2
4277460311, 7_140, 0, 1
3236131699, 7_143, 0, 1
1630851765, 7_144, 0, 4
2589638387, 8_5, 0, 1
470250434, 8_7, 0, 1
570417670, 8_15, 0, 1
3645620257, 8_16, 0, 3
1578734946, 8_19, 0, 1
2705279154, 8_20, 0, 1
3939308214, 8_23, 0, 2
648488945, 8_25, 0, 1
3696280049, 8_28, 0, 1
4265605969, 8_36, 0, 1
1283544613, 8_38, 0, 2
3906646563, 8_43, 0, 2
1893107559, 8_45, 0, 1
385564947, 8_47, 0, 1
3673469505, 8_49, 0, 1
1403997621, 8_53, 0, 1
1845284480, 8_57, 0, 1
3858378130, 8_59, 1, 1
3773867217, 8_66, 0, 1
2987323296, 8_76, 0, 1
3613036608, 8_79, 0, 3
1455940706, 8_81, 0, 1
1139307617, 8_86, 0, 1
4004283153, 8_88, 0, 3
3433643735, 8_90, 0, 1
55904277, 8_91, 0, 2
2483619141, 8_92, 1, 2
3627122246, 8_94, 0, 1
2451616709, 8_98, 0, 1
1518948324, 8_99, 0, 1
2887391973, 8_105, 0, 2
3749450565, 8_107, 1, 5
1346788082, 8_109, 0, 1
2679582516, 8_113, 0, 1
2297420961, 8_119, 0, 1
2373343568, 8_126, 0, 1
4152888644, 8_128, 0, 4
2512521957, 8_129, 0, 1
1645792432, 8_131, 0, 1
244950661, 8_134, 0, 3
196565572, 9_2, 0, 1
2129208405, 9_6, 0, 1
4077327938, 9_12, 0, 1
1355807424, 9_14, 0, 1
1825392790, 9_17, 0, 1
3504711879, 9_20, 0, 3
1249447713, 9_28, 0, 1
2614422835, 9_32, 0, 1
509335153, 9_35, 1, 1
3428645106, 9_38, 0, 1
2002813634, 9_44, 0, 1
3958169250, 9_53, 0, 1
3784555235, 9_55, 0, 1
1238524929, 9_63, 0, 1
3913029942, 9_64, 0, 1
1441050544, 9_71, 0, 3
4268338835, 9_73, 0, 1
3776441378, 9_75, 0, 1
240624167, 9_76, 0, 1
287177746, 9_77, 0, 1
3483738117, 9_80, 0, 2
4060612388, 9_81, 0, 1
2947735750, 9_83, 0, 1
279184630, 9_84, 0, 1
3701897812, 9_85, 0, 1
783659537, 9_86, 0, 1
283852065, 9_89, 1, 1
3334461827, 9_93, 0, 1
4222397492, 9_95, 0, 1
1137569073, 9_105, 0, 1
2212099091, 9_107, 0, 2
1096223350, 9_109, 1, 2
1414269236, 9_110, 1, 3
2533533735, 9_112, 1, 1
2051899474, 9_115, 0, 2
800791793, 9_118, 0, 1
1628792835, 9_120, 0, 1
1626543217, 9_124, 0, 1
2763019398, 9_127, 0, 1
4265062310, 9_128, 1, 1
4131095506, 9_133, 0, 1
2338765027, 9_136, 0, 1
4149010004, 9_138, 0, 1
4260805986, 9_140, 0, 1
2711732754, 9_142, 0, 1
4222758292, 10_2, 0, 3
85780838, 10_3, 0, 1
87315878, 10_4, 0, 1
3988052087, 10_9, 0, 3
1575891669, 10_10, 0, 1
772491798, 10_14, 0, 1
1417912230, 10_15, 1, 1
240051254, 10_27, 0, 3
4119989283, 10_31, 0, 1
3401021431, 10_33, 0, 1
1054588800, 10_35, 0, 1
594515108, 10_37, 0, 1
2407901270, 10_40, 0, 1
1099666208, 10_48, 0, 1
693563812, 10_49, 0, 1
2360374870, 10_59, 0, 1
1549592951, 10_61, 0, 1
3780803575, 10_64, 0, 1
1259213542, 10_65, 0, 1
2949870546, 10_67, 0, 5
2169837923, 10_69, 0, 1
142824833, 10_70, 0, 1
3002803093, 10_71, 0, 1
2678822263, 10_73, 1, 2
2287638485, 10_77, 0, 1
3528606177, 10_78, 0, 1
2038330727, 10_86, 0, 1
3900388710, 10_93, 0, 1
380835009, 10_94, 0, 3
3921240003, 10_95, 0, 1
2425817124, 10_99, 0, 1
1399802594, 10_102, 0, 1
1864283504, 10_104, 0, 1
2026170881, 10_105, 0, 1
1571234705, 10_108, 0, 2
510384355, 10_109, 0, 1
4260479617, 10_124, 0, 1
1106144530, 10_126, 0, 1
912652166, 10_129, 0, 1
1452453329, 10_142, 0, 1
3816428151, 11_1, 1, 1
1657858322, 11_4, 0, 1
3988607175, 11_16, 0, 1
333939616, 11_18, 0, 1
1806144821, 11_19, 0, 2
3698001105, 11_26, 0, 1
3433541857, 11_37, 0, 3
3472331571, 11_38, 0, 1
1504386115, 11_44, 0, 1
3419480807, 11_47, 0, 1
1246184003, 11_48, 0, 1
2086044962, 11_49, 0, 1
4037470434, 11_52, 0, 1
4002547013, 11_56, 0, 1
2620292901, 11_60, 0, 1
929783301, 11_61, 0, 1
2861201716, 11_75, 0, 1
690574209, 11_76, 0, 1
3871286390, 11_79, 0, 1
3186818400, 11_82, 0, 1
209769489, 11_88, 0, 3
3477765093, 11_94, 0, 1
4059139696, 11_95, 0, 1
576671874, 11_100, 0, 1
1650517410, 11_109, 0, 1
2031076338, 11_112, 0, 1
457221158, 11_115, 0, 1
219326803, 11_116, 0, 1
889548821, 11_118, 0, 1
1899924390, 11_127, 0, 1
1660056038, 11_130, 0, 1
944428274, 11_133, 0, 1
3136709569, 11_135, 0, 2
3561464595, 11_136, 0, 1
3341167809, 11_139, 0, 3
3720864084, 12_1, 0, 1
1679053204, 12_2, 0, 3
569491287, 12_14, 0, 2
1653912368, 12_21, 0, 1
359232161, 12_24, 0, 1
4023640359, 12_25, 1, 1
3493111188, 12_29, 0, 1
362512786, 12_31, 0, 1
336872772, 12_32, 0, 1
3823113458, 12_34, 0, 1
2155010595, 12_36, 0, 3
2851403952, 12_39, 0, 1
3336088915, 12_42, 0, 1
3425102644, 12_44, 0, 1
3764755767, 12_47, 0, 1
2759208545, 12_51, 0, 1
3368144258, 12_52, 0, 1
1423781698, 12_55, 0, 1
4028694116, 12_59, 0, 1
3204595109, 12_61, 0, 1
407949380, 12_64, 0, 2
248998678, 12_78, 0, 1
673125846, 12_82, 0, 1
1214181106, 12_89, 0, 2
1102269184, 12_93, 0, 1
2680227365, 12_96, 0, 1
45070050, 12_97, 0, 1
918059942, 12_98, 0, 1
97165700, 12_99, 0, 1
2299818593, 12_105, 0, 1
776674822, 12_108, 0, 1
4182050640, 12_109, 1, 1
1882071219, 12_111, 0, 1
2784195920, 12_113, 0, 1
796017347, 12_114, 0, 1
2989176113, 12_115, 0, 1
1036494261, 12_116, 0, 1
1914602791, 12_118, 0, 1
1176847750, 12_125, 0, 1
3278390583, 12_127, 0, 2
1904294244, 12_130, 0, 1
1904769139, 12_132, 0, 1
3497094817, 12_136, 0, 1
2594051556, 12_138, 0, 1
1012159747, 12_141, 0, 1
138491152, 12_142, 0, 1
639109653, 13_3, 0, 1
2588340208, 13_5, 0, 1
3578630385, 13_11, 0, 1
2981350822, 13_19, 0, 3
2769811218, 13_22, 0, 1
4126797906, 13_28, 0, 1
1110214512, 13_32, 0, 1
3050122128, 13_33, 0, 1
903031060, 13_43, 0, 1
3151453617, 13_46, 0, 1
799917731, 13_49, 0, 2
2971074198, 13_52, 1, 2
1660056038, 13_53, 1, 2
2647285202, 13_55, 0, 1
4097422468, 13_57, 0, 1
2397531906, 13_64, 0, 1
2359625698, 13_71, 0, 1
3576088406, 13_72, 0, 1
3562825136, 13_73, 0, 1
916197187, 13_82, 0, 1
1587099409, 13_85, 0, 1
3153028163, 13_91, 1, 1
1105043234, 13_94, 0, 1
121158407, 13_97, 0, 1
3243374321, 13_101, 0, 1
161262336, 13_102, 0, 1
1391820565, 13_104, 0, 1
3986660768, 13_106, 0, 1
1843271015, 13_108, 0, 1
149838146, 13_111, 0, 2
2016319443, 13_112, 0, 1
977708390, 13_113, 0, 1
1960643156, 13_117, 0, 1
4260391127, 13_119, 0, 1
3464348353, 13_120, 0, 3
2170513873, 13_130, 0, 1
3214898518, 13_135, 0, 1
836913974, 13_138, 0, 2
1338245362, 14_1, 0, 1
3464348353, 14_8, 1, 1
394490855, 14_10, 0, 1
1257737717, 14_14, 0, 2
3008413173, 14_16, 0, 1
1241299187, 14_19, 0, 1
1663420850, 14_27, 0, 1
1686892194, 14_29, 0, 1
1706929303, 14_31, 0, 1
223225031, 14_32, 0, 1
1457207619, 14_33, 0, 1
1776285634, 14_35, 0, 3
2547739604, 14_39, 0, 2
3618712834, 14_52, 0, 1
1196587074, 14_54, 0, 1
2293459333, 14_62, 0, 2
3679220160, 14_68, 0, 1
1888019028, 14_72, 0, 1
1584295671, 14_76, 0, 1
591655893, 14_77, 0, 1
1556713089, 14_80, 0, 1
3419860707, 14_91, 0, 1
327009250, 14_93, 0, 1
