@RELATION PENCODE


@ATTRIBUTE 32BITSTRING STRING

@ATTRIBUTE IMAGENO STRING

@ATTRIBUTE ISRED NUMERIC

@ATTRIBUTE FREQUENCY NUMERIC


@DATA 
00010111100110101000101100110100, 2_91, 0, 1
01111100100011011111011010000111, 2_92, 0, 1
10011000111101101001101011010101, 2_93, 0, 1
01100100100011101110110001100111, 2_94, 0, 1
01011100011010001101011111100111, 2_95, 0, 1
01111100110100111000000101010010, 2_96, 0, 1
01011110011011110001110101000001, 2_97, 0, 1
01001011101011101111111101000100, 2_98, 0, 1
00000110101001001001011000000110, 2_99, 0, 1
10101111011100111100000111110010, 2_100, 0, 1
10100110000100100001111100000111, 2_101, 0, 1
10010000000101010111110110000101, 2_102, 0, 1
01000100011010101001110110100100, 2_103, 0, 1
01010100100000111001111110100110, 2_104, 0, 1
00110000110011101010000011010010, 2_105, 0, 1
11001001101110110111111111000111, 2_106, 0, 1
01111100100011011111011010000111, 2_107, 0, 1
01100011001011001010111110010010, 2_108, 0, 1
10000111011100000101111100100001, 2_109, 0, 1
00110101100101011111101000110100, 2_110, 0, 1
10000101011111011110000101100111, 2_111, 0, 1
01100000011010101111100001100111, 2_112, 0, 1
00111010010101010011011001000011, 2_113, 0, 1
01101001110111111011100111100010, 2_114, 0, 1
01111100100011011111011010000111, 2_115, 0, 1
01100011001011001010111110010010, 2_116, 0, 1
01010110000001001011001110110101, 2_117, 0, 1
10101011001111100111100000100010, 2_118, 0, 1
00111000100000100000111000000000, 2_119, 0, 1
11100011011110100001001001110111, 2_120, 0, 1
00100111101000110110111000010011, 2_121, 0, 1
01010100100000111001111110100110, 2_122, 0, 1
10011000101111000110110010000000, 2_123, 0, 1
10100001110110011000100001000001, 2_124, 0, 1
11011101010110000000011000000001, 2_125, 0, 1
00101010010111011100111101010100, 2_126, 0, 1
00111111110011010110011011110100, 2_127, 0, 1
11000001110110010110010010010011, 2_128, 0, 1
01110111010101000010010101010001, 2_129, 0, 1
11100101101000110001010000010111, 2_130, 0, 1
00100111001000000000000101010110, 2_131, 0, 1
01010100100000111001111110100110, 2_132, 0, 1
11111101110110101000011110000010, 2_133, 0, 1
10101111011100111100000111110010, 2_134, 0, 1
11100101111110100010110110010010, 2_135, 0, 1
00000110101001001001011000000110, 2_136, 0, 1
10100000010010011101001010010100, 2_137, 0, 1
00101000111100011110010110110010, 2_138, 0, 1
11110100000101011011001100000000, 2_139, 0, 1
00000110101001001001011000000110, 2_140, 0, 1
10110000100110100111111010110100, 2_141, 0, 1
00011010001111011110000011100001, 2_142, 0, 1
11001110110111110010110011100110, 2_143, 0, 1
11101100011100110001100000110101, 2_144, 0, 1
01100110100010000000000000110001, 3_1, 0, 1
01110010100001101110100101010111, 3_2, 0, 1
10100010111011110011000111110011, 3_3, 1, 1
11101010111011000011010010100101, 3_4, 0, 1
01111100001000101111101111010110, 3_5, 0, 1
10111000100111111001111110010000, 3_6, 0, 1
10111000011010000000101010110011, 3_7, 0, 1
00111000100000100000111000000000, 3_8, 0, 1
00011100101100000011100000110011, 3_9, 0, 1
10010110111001110100011010000110, 3_10, 0, 1
00101110110100001101100100000011, 3_11, 1, 1
01100011011010001101100000100011, 3_12, 0, 1
11110110110101101101001011110101, 3_13, 0, 1
11011000101111001011010100010011, 3_14, 0, 1
10000101011111011110000101100111, 3_15, 0, 1
11111000011011000010100110100001, 3_16, 0, 1
01001011000010001100100100000011, 3_17, 0, 1
01000101010100011100110001100110, 3_18, 0, 1
00100010111111101110111010100010, 3_19, 0, 1
